District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,gram products,besan
Kupwara,"1,381",34.5261786,74.2546136,0.00,0.00,5.07,0.00,0.00,0.00,1.97,1.23,1.11,0.48,0.59,0.25,0.00,0.00
Baramula,"1,562",34.1990498,74.3499496,0.00,15.00,7.07,0.00,0.00,0.00,0.88,1.36,1.12,0.67,0.90,0.91,1.83,1.34
Srinagar,"2,041",34.0836708,74.7972825,0.00,0.00,1.39,0.00,0.00,0.00,0.58,0.68,0.66,0.50,0.77,1.43,0.93,1.00
Badgam,"1,360",34.0117793,74.7746684,0.00,0.00,6.20,0.00,0.00,0.00,0.00,0.76,0.71,0.00,0.56,0.00,1.00,0.00
Pulwama,"1,599",33.8716117,74.8945692,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00
Anantnag,"1,534",33.7311255,75.1487007,0.00,0.00,15.23,0.00,0.00,0.00,0.00,0.97,1.50,0.00,0.00,0.00,1.00,0.00
Leh,"1,967",34.1663838,77.4966975,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.75,0.57,0.31,1.00,0.53,0.00,0.00
Kargil,"1,761",34.5584489,76.099508,4.56,3.04,0.00,4.00,0.00,0.00,0.00,1.11,1.15,0.00,0.87,0.00,1.00,0.97
Doda,"1,348",33.1457497,75.5480491,22.00,0.00,11.74,0.00,0.00,0.00,0.00,0.62,0.58,0.91,0.69,1.50,0.50,0.35
Udhampur,"1,224",32.9140588,75.1429652,0.00,0.00,15.40,5.00,0.00,0.00,1.75,0.65,0.58,0.83,0.58,0.50,0.88,0.28
Punch,"1,396",33.5371751,73.7383518,0.00,0.00,15.47,0.00,0.00,0.00,0.99,0.79,0.93,0.99,1.57,0.00,0.00,0.33
Rajauri,"1,540",33.3786445,74.2880047,0.00,5.00,16.78,0.00,0.00,0.00,0.97,0.79,0.90,0.92,0.96,2.50,0.46,0.35
Jammu,"2,571",32.7266016,74.8570259,0.00,0.00,4.79,0.00,0.00,0.00,0.89,0.63,0.60,1.04,0.56,1.50,0.76,0.40
Kathua,"1,857",32.3864799,75.5172688,0.00,0.00,10.88,0.00,0.00,0.00,0.67,0.57,0.59,1.16,0.49,0.00,0.50,0.35
Chamba,"1,383",32.5533633,76.1258083,0.00,0.00,9.98,0.00,0.00,0.00,0.69,0.59,0.62,1.28,1.00,1.91,0.53,0.39
Kangra,"1,579",32.0998031,76.2691006,0.00,2.53,7.36,10.00,0.00,0.00,0.79,0.61,0.74,1.01,0.99,1.00,0.58,0.37
Lahul,"1,582",32.6192107,77.3783789,0.00,0.00,0.00,3.66,0.00,0.00,0.50,0.60,0.81,1.03,0.25,0.00,0.00,0.25
Kullu,"1,469",31.957851,77.1094597,0.00,2.00,8.62,0.00,0.00,0.00,0.68,0.78,0.78,1.09,1.00,0.00,0.00,0.46
Mandi,"1,361",31.7081655,76.9313675,0.50,0.50,5.94,0.00,0.00,0.00,0.76,0.76,0.77,1.11,0.82,1.10,1.14,0.43
Hamirpur,"2,591",31.6861745,76.5213092,0.00,10.00,9.84,0.25,0.00,0.00,0.75,0.93,0.79,1.47,0.77,0.50,0.96,0.77
Una,"2,286",31.468445,76.2707745,0.00,5.69,12.45,5.00,0.00,0.00,0.87,0.80,0.79,1.18,0.50,1.00,1.02,0.71
Bilaspur,"1,999",30.3029069,77.2918386,20.00,0.00,9.53,0.00,0.00,0.00,0.73,1.06,0.85,1.28,1.07,0.84,0.94,0.69
Solan,"3,109",30.9044857,77.0967357,0.00,30.00,13.83,20.00,2.00,0.00,0.98,0.88,0.95,0.96,0.92,0.50,0.00,0.78
Sirmaur,"1,929",30.5628455,77.4701972,0.00,0.00,17.40,0.00,0.00,0.00,0.84,0.75,0.87,1.31,3.93,0.00,0.00,0.78
Shimla,"2,351",31.1048145,77.1734033,0.00,0.00,3.70,0.00,0.00,0.00,0.99,1.04,1.08,1.16,1.67,1.00,0.50,0.64
Kinnaur,"2,105",31.6509576,78.4751945,0.00,0.00,20.00,10.00,0.00,0.00,1.00,1.23,1.06,1.26,4.00,0.00,0.00,2.14
Gurdaspur,"2,015",32.0419424,75.4053367,0.00,0.00,2.80,0.00,0.00,0.00,0.67,0.50,0.43,0.79,0.54,0.00,0.00,0.57
Amritsar,"1,868",31.6339793,74.8722642,0.00,0.00,3.38,1.00,0.00,0.00,1.33,0.69,0.72,0.88,1.00,0.00,0.00,0.63
Kapurthala,"2,040",31.3714801,75.3936808,0.00,0.00,2.22,0.00,0.00,0.00,0.66,0.63,0.53,0.44,0.00,0.00,0.37,0.44
Jalandhar,"1,902",31.3260152,75.5761829,4.00,2.00,2.46,0.00,0.20,0.00,0.57,0.62,0.54,0.49,0.89,1.00,0.57,0.39
Hoshiarpur,"2,174",31.5143178,75.911483,0.00,0.00,3.63,0.00,0.00,0.00,1.07,0.60,0.45,0.74,1.00,0.75,1.00,0.50
Nawanshahr,"1,741",31.0912954,76.0391909,0.00,0.00,3.24,0.00,0.00,0.00,0.44,0.60,0.56,0.41,0.25,0.00,0.00,0.49
Rupnagar,"2,215",30.9659168,76.5230234,0.00,0.00,2.36,0.00,0.00,0.00,0.91,0.87,0.67,0.72,1.00,0.00,0.00,0.70
Fatehgarh,"1,886",30.6479174,76.3897733,0.00,0.00,8.52,0.00,0.00,0.00,0.89,1.24,0.93,1.02,0.50,0.00,1.02,1.00
Ludhiana,"2,238",30.900965,75.8572758,0.00,0.00,1.90,0.00,2.00,0.00,1.09,0.80,0.68,0.74,0.50,1.00,0.63,0.62
Moga,"1,950",30.8164603,75.1717093,0.00,0.00,3.09,0.00,0.00,0.00,5.00,1.03,0.78,0.65,0.00,0.00,1.00,0.94
Firozpur,"1,805",30.9331348,74.6224755,0.00,0.00,1.91,0.00,0.00,0.00,0.53,0.97,0.69,0.76,0.00,0.00,0.00,1.32
Muktsar,"1,595",30.4766391,74.511172,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.84,0.83,0.99,0.00,0.00,0.00,0.70
Faridkot,"2,723",30.678187,74.7395591,0.00,0.00,2.72,0.00,0.00,0.00,1.00,0.99,0.68,0.48,0.00,0.00,0.00,0.72
Bathinda,"2,568",30.210994,74.9454745,0.00,0.79,0.86,0.00,0.00,0.00,0.32,0.74,0.40,0.74,1.00,0.00,0.37,0.49
Mansa,"2,142",29.9995069,75.3936808,0.00,1.02,1.00,0.00,0.00,0.00,1.50,1.01,0.72,0.56,0.00,0.00,0.69,0.65
Sangrur,"2,241",30.2457963,75.8420716,0.00,0.00,2.25,0.00,0.00,0.00,0.64,1.11,0.64,0.96,1.00,0.00,0.00,0.85
Patiala,"2,446",30.3397809,76.3868797,0.00,0.00,4.07,0.00,0.00,0.00,0.79,0.88,0.67,0.77,0.76,0.00,0.37,0.98
SJAS Nagar (Mohali),"2,427",30.7046486,76.7178726,0.00,0.00,1.64,0.00,0.00,0.00,0.62,0.71,0.62,0.81,1.34,0.00,0.00,0.67
Barnala,"1,843",30.3667712,75.5093329,0.00,0.00,4.57,0.00,0.00,0.00,0.00,0.93,0.76,0.85,0.50,0.00,0.00,0.54
Tarn Taran,"1,931",31.3216675,74.5159768,0.00,0.00,2.39,0.00,0.00,0.00,1.18,0.93,0.98,0.80,0.00,0.00,0.00,0.67
Chandigarh,"2,638",30.7399738,76.7567368,0.00,0.00,2.14,0.00,0.00,0.00,1.10,0.82,0.80,0.91,0.88,0.00,0.75,0.70
Uttarkashi,"1,808",30.7268307,78.4354042,0.00,0.00,1.46,0.00,0.00,5.00,0.88,0.43,1.02,0.56,0.72,2.00,0.00,0.33
Chamoli,"1,405",30.4041045,79.3317691,0.00,0.00,1.80,0.00,4.97,4.66,0.88,0.92,0.76,0.72,0.93,0.00,0.00,0.39
Rudraprayag,"1,583",30.2844141,78.9811407,0.00,0.00,0.00,0.00,4.93,4.57,0.91,0.50,0.85,0.69,1.00,0.00,0.00,0.43
Tehri,"1,215",30.3011858,78.5660852,0.00,0.00,1.34,0.00,2.54,3.45,1.18,0.89,1.14,1.00,1.91,1.00,0.00,0.43
Dehradun,"1,873",30.3145745,77.9984405,2.00,0.00,3.33,0.00,0.50,1.21,1.06,0.54,0.87,0.66,1.00,1.70,0.52,0.51
Garhwal,"1,648",29.8687682,78.8382644,0.00,0.00,1.00,0.00,4.52,4.54,0.96,0.57,0.80,0.64,0.80,1.00,0.65,0.41
Pithoragarh,"1,426",29.5828604,80.2181884,0.00,0.00,2.00,0.00,0.00,1.65,0.74,0.95,1.09,0.79,0.61,0.00,0.50,0.47
Bageshwar,"1,506",29.8403606,79.769426,0.00,0.00,0.00,0.00,0.00,4.48,0.82,0.65,1.26,1.00,2.34,0.77,0.00,0.50
Almora,"1,640",29.5892407,79.646666,0.00,0.00,0.00,0.00,0.00,5.50,0.78,0.47,1.06,0.80,0.96,0.00,0.00,0.49
Champawat,"1,530",29.3360974,80.0910275,0.00,0.00,0.00,0.00,0.00,3.44,1.20,0.60,1.03,1.14,1.28,0.00,0.00,0.42
Nainital,"1,875",29.3803039,79.4635658,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.62,1.24,0.83,1.03,0.00,0.00,0.82
Udham,"1,705",28.9609653,79.5153773,0.00,0.00,0.00,0.00,0.00,0.00,0.98,1.14,1.27,0.91,0.82,0.58,1.00,0.48
Hardwar,"1,551",29.9456906,78.1642478,0.00,0.00,2.52,0.00,0.00,0.00,1.11,0.90,1.16,0.89,0.54,3.00,0.25,0.61
Nainital(Hills),"1,373",29.4093818,79.4353962,0.00,0.00,0.00,0.00,0.00,6.47,1.23,0.57,1.17,1.57,1.95,0.00,0.00,0.69
Dehradun(Hills),"1,315",30.2838211,77.9079728,1.00,0.00,32.98,0.00,0.00,3.70,1.13,0.53,0.87,0.96,0.25,0.00,0.00,0.61
Panchkula,"1,812",30.6942091,76.860565,0.00,0.00,1.51,0.00,0.00,0.00,1.47,0.93,1.00,0.89,1.44,0.00,2.00,0.72
Ambala,"1,867",30.3781788,76.7766974,0.00,0.00,2.68,0.00,0.00,0.00,0.93,0.95,1.00,1.18,1.17,0.00,0.25,0.71
Yamunanagar,"1,533",30.1290485,77.2673901,0.00,0.00,1.29,0.10,0.00,0.00,1.01,0.91,0.88,0.87,0.39,0.00,1.00,0.59
Kurukshetra,"1,804",29.9695121,76.878282,0.00,2.00,5.54,0.00,0.00,0.00,0.73,0.79,0.79,0.87,0.51,0.00,1.11,0.61
Kaithal,"1,724",29.7856734,76.3984537,0.00,1.32,1.88,0.00,0.00,0.00,0.70,0.77,0.91,0.76,0.00,0.00,0.50,0.86
Karnal,"1,942",29.6856929,76.9904825,0.00,2.86,2.00,0.00,0.00,0.00,0.73,0.97,0.77,0.62,0.00,0.00,0.33,0.71
Panipat,"2,075",29.3909464,76.9635023,0.00,3.23,3.00,0.00,0.00,0.00,1.76,0.96,0.86,0.70,1.22,0.00,0.92,0.78
Sonipat,"2,141",28.9287735,77.091281,0.00,5.94,0.00,0.00,0.00,0.00,0.00,0.42,0.32,0.28,0.00,0.00,0.25,0.39
Jind,"2,347",29.3211153,76.3058328,0.00,2.78,2.73,0.00,0.00,0.00,1.25,0.60,0.42,0.48,2.00,0.00,0.32,0.45
Fatehabad,"1,718",29.5077159,75.4519516,0.00,9.82,3.00,0.00,0.00,0.00,1.28,1.20,0.70,0.91,1.00,0.00,0.00,1.08
Sirsa,"1,691",29.5335931,75.0177029,0.00,5.83,2.00,0.00,0.00,0.00,0.47,0.91,0.48,0.47,0.00,0.00,0.00,0.74
Hisar,"1,776",29.1491875,75.7216527,0.00,3.34,0.00,0.00,0.00,0.00,1.62,0.99,0.43,0.66,0.73,0.00,1.00,0.90
Bhiwani,"2,149",28.7990445,76.1335112,0.00,4.41,0.00,15.00,0.00,0.00,0.75,0.84,0.68,0.69,0.47,0.00,0.79,1.15
Rohtak,"2,459",28.8955152,76.606611,0.00,2.11,0.83,0.00,0.00,0.00,0.50,0.87,0.70,0.63,0.25,0.00,0.89,0.80
Jhajjar,"2,188",28.6079115,76.6571775,2.00,2.19,3.47,0.00,0.00,0.00,0.58,0.97,0.67,0.55,0.94,0.50,0.00,0.76
Mahendragarh,"1,974",28.2710192,76.1493891,0.00,15.57,0.00,0.00,0.00,0.00,0.81,1.10,0.66,0.69,1.00,0.00,0.50,0.96
Rewari,"2,460",28.1927631,76.6239423,0.00,3.37,0.00,0.00,0.00,0.00,0.69,0.84,0.71,0.60,0.00,0.00,0.95,1.02
Gurgaon,"3,339",28.4594965,77.0266383,0.00,5.60,1.50,0.00,0.00,0.00,0.80,0.87,0.54,0.70,0.50,0.00,0.50,0.80
Faridabad,"2,526",28.4089123,77.3177894,0.00,2.00,0.00,1.00,0.00,0.00,0.71,0.81,0.70,0.51,0.61,0.25,0.00,0.81
Mewat,"1,535",28.0106916,77.0564464,0.00,4.25,0.66,0.00,0.00,0.00,0.62,1.12,0.70,0.55,0.50,0.50,0.25,1.19
North West Delhi,"2,879",28.7705774,77.0794705,0.00,0.00,2.73,0.46,0.00,0.00,1.02,0.75,0.84,0.64,0.57,0.00,0.58,0.55
North Delhi,"3,237",28.7483894,77.2060241,0.00,0.00,0.00,0.00,0.00,0.00,1.81,1.03,0.65,0.56,0.00,0.00,0.00,0.39
North East Delhi,"2,237",28.6965644,77.2635038,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.67,0.67,0.45,0.00,0.50,0.63,0.46
East Delhi,"1,915",28.6195591,77.2979782,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.56,0.70,0.64,0.20,0.00,0.00,0.60
New Delhi,"3,762",28.5275198,77.0688974,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.46,0.88,1.00,0.00,0.00,0.00,0.31
West Delhi,"1,954",28.6542826,76.9973191,0.00,0.00,0.00,0.00,0.00,0.00,1.59,1.14,0.83,0.38,0.00,0.00,0.00,0.60
South West Delhi,"3,222",28.5827577,77.0334179,0.00,1.91,0.00,0.00,0.00,0.00,1.00,0.50,0.53,0.61,0.50,0.00,0.00,0.43
South Delhi,"2,902",28.5086497,77.2175223,0.00,0.00,2.00,0.50,0.00,0.00,1.24,0.84,0.67,0.87,0.50,0.50,0.15,0.46
Ganganagar,"1,689",29.9038399,73.8771901,0.00,11.57,2.95,0.00,0.00,0.00,0.71,1.37,0.64,0.50,0.98,0.00,0.00,0.81
Hanumangarh,"1,793",29.614436,74.2858121,0.00,4.21,10.00,0.00,0.00,0.00,0.62,1.12,0.78,0.74,0.00,0.00,0.00,0.76
Bikaner,"1,642",28.0229348,73.3119159,0.00,8.20,0.00,0.00,0.00,0.00,0.83,0.95,0.79,0.99,0.81,0.00,0.00,0.77
Churu,"1,598",28.2920484,74.9617924,0.00,27.72,0.00,0.00,0.00,0.00,0.73,1.30,0.68,0.41,0.00,0.00,0.00,0.82
Jhunjhunun,"2,140",28.1288747,75.3995089,0.00,12.90,0.00,0.50,0.00,0.00,1.12,1.22,0.59,0.81,0.00,0.00,0.00,0.89
Alwar,"1,688",27.5529907,76.6345735,2.00,28.25,0.00,6.92,0.00,0.00,0.65,0.96,0.66,0.62,0.50,0.00,0.50,1.26
Bharatpur,"1,117",27.216981,77.489515,0.00,16.21,80.00,0.00,0.00,0.00,0.66,0.75,0.53,0.61,1.00,0.00,0.52,0.97
Dhaulpur,"1,164",26.7025181,77.893391,0.00,26.80,0.00,1.00,0.00,0.00,0.69,0.72,0.51,0.64,1.30,0.00,0.00,1.16
Karauli,"1,267",26.488323,77.0161436,0.00,5.86,0.50,0.00,0.00,0.00,0.76,0.72,0.55,0.47,2.52,0.00,1.00,1.00
Sawai,"1,233",26.0377772,76.3521514,2.00,14.19,5.00,0.00,0.00,0.00,1.03,0.77,0.49,0.59,0.00,0.00,0.80,1.04
Dausa,"1,708",26.8931931,76.3375284,0.00,19.35,0.00,0.00,0.00,0.00,0.49,0.72,0.34,0.43,0.25,0.00,0.00,0.93
Jaipur,"1,955",26.9124336,75.7872709,1.36,17.41,1.62,17.63,0.00,0.00,0.54,0.81,0.51,0.45,0.32,0.00,0.43,0.79
Sikar,"1,806",27.6094,75.139911,5.74,14.31,3.00,0.00,0.00,0.00,1.47,1.14,0.58,0.74,0.00,2.00,1.66,1.64
Nagaur,"1,528",27.1991222,73.740924,10.00,31.55,7.17,0.00,0.00,0.00,0.35,1.32,0.50,0.85,2.00,0.00,0.00,0.58
Jodhpur,"1,744",26.2389469,73.0243094,10.48,47.52,0.00,0.00,2.00,0.60,0.53,1.49,0.91,0.50,0.00,0.00,1.00,1.05
Jaisalmer,"1,442",26.9157487,70.9083443,70.00,49.53,0.00,0.00,0.00,0.00,0.15,1.38,0.92,0.38,0.00,0.00,0.50,0.50
Barmer,"1,783",25.7531537,71.4180622,58.41,52.94,0.00,0.00,0.00,0.00,0.63,1.53,0.74,0.57,0.00,0.00,0.25,0.54
Jalor,"1,567",25.3444799,72.6253763,0.00,44.59,0.00,0.00,0.00,0.00,0.61,1.67,0.52,0.45,0.00,0.00,0.00,0.70
Sirohi,"1,299",24.8851548,72.8574558,0.00,5.00,14.62,0.00,0.00,0.00,0.61,0.72,0.48,0.66,0.50,0.00,0.00,1.88
Pali,"1,764",25.7710893,73.3234478,1.43,30.29,16.85,0.00,0.00,0.00,0.53,1.71,0.52,0.45,1.00,0.00,0.50,0.86
Ajmer,"1,751",26.4498954,74.6399163,0.00,23.67,15.72,30.00,0.00,0.00,0.43,0.91,0.56,0.66,0.25,0.00,0.00,0.57
Tonk,"1,587",26.1620402,75.7894716,0.00,7.39,4.57,0.00,0.00,0.00,0.41,0.44,0.30,0.35,0.20,0.00,0.00,0.62
Bundi,"1,234",25.4305144,75.6499025,0.00,2.87,9.88,0.00,0.00,0.00,0.66,0.85,0.57,0.67,0.10,0.00,0.00,0.73
Bhilwara,"2,125",25.321377,74.586953,0.00,21.80,12.73,0.00,0.00,0.00,0.46,0.86,0.51,0.97,0.50,0.00,0.00,0.56
Rajsamand,"1,310",25.0714851,73.8830701,0.00,0.00,10.13,0.00,0.00,0.00,0.67,0.69,0.51,0.90,0.00,0.00,0.00,0.69
Udaipur,"1,310",24.585445,73.712479,0.00,0.00,15.31,0.00,0.63,0.00,0.75,0.68,0.40,0.82,0.20,0.00,0.00,0.45
Dungarpur,890,23.841668,73.7146623,0.00,3.00,4.67,0.00,2.00,0.00,0.73,0.54,0.52,0.82,1.00,0.00,0.00,0.71
Banswara,"1,278",23.5461394,74.4349761,0.00,0.00,16.96,0.00,0.00,0.00,1.24,0.89,0.36,1.04,0.20,0.00,0.00,0.59
Chittaurgarh,"1,524",24.8887435,74.6269216,0.00,1.00,8.87,0.00,0.00,0.00,0.72,0.72,0.59,0.75,0.67,0.00,0.00,0.59
Kota,"1,535",25.2138156,75.8647527,1.82,4.58,13.26,0.00,0.00,0.00,0.68,0.81,0.51,0.63,0.50,0.00,1.00,0.73
Baran,"1,398",25.1011438,76.5131637,0.00,2.64,3.31,0.00,0.00,0.00,0.76,0.63,0.45,0.43,0.50,0.00,0.00,0.59
Jhalawar,"1,375",24.5973494,76.1609838,5.57,2.78,3.97,0.00,0.00,0.00,0.75,0.68,0.47,0.70,0.50,0.00,1.50,0.89
Saharanpur,"1,379",29.967079,77.5510172,0.00,0.00,0.00,0.00,0.00,0.00,0.97,1.00,1.41,1.62,1.00,0.00,0.47,0.90
Muzaffarnagar,"1,374",29.4726817,77.7085091,0.00,0.00,1.59,2.00,0.00,0.00,0.99,0.90,1.16,1.19,2.00,0.00,0.71,0.83
Bijnor,"1,000",29.3724422,78.1358472,2.00,0.00,1.00,0.00,0.00,0.00,1.52,1.29,1.32,1.53,1.32,0.50,0.00,0.69
Moradabad,"1,051",28.8386481,78.7733286,0.00,0.00,1.19,0.00,0.00,0.00,1.53,0.60,0.95,1.34,1.06,0.00,0.00,0.72
Rampur,996,28.7893041,79.0249516,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.68,1.14,1.62,0.92,0.00,0.00,1.00
Jyotiba Phule Nagar,"1,002",28.7715965,78.3387066,0.00,0.00,0.50,0.00,0.00,0.00,1.25,1.10,1.29,1.80,1.58,1.00,0.00,0.67
Meerut,"1,821",28.9844618,77.7064137,0.00,1.96,2.55,0.00,0.00,0.00,0.81,0.54,1.12,0.85,0.72,0.00,0.60,0.95
Baghpat,"2,310",28.9421618,77.2261452,0.00,0.00,3.55,0.00,0.00,0.00,0.72,0.42,1.51,1.41,3.00,0.00,1.00,0.68
Ghaziabad,"2,290",28.6691565,77.4537578,0.00,0.00,2.19,0.00,0.00,0.00,0.94,0.77,0.92,0.78,0.25,0.00,0.54,0.68
Gautam Buddha Nagar,"2,146",28.358983,77.550762,0.00,0.00,1.14,0.00,0.00,0.00,0.73,0.53,1.13,0.77,0.81,0.00,0.83,0.63
Bulandshahar,"1,316",28.406963,77.8498292,0.00,11.52,11.12,0.00,0.00,0.00,1.17,0.56,0.95,0.77,1.00,0.00,0.00,0.69
Aligarh,"1,307",27.8973944,78.0880129,80.00,12.56,4.20,0.00,0.00,0.00,1.27,0.84,1.04,0.79,1.04,0.00,0.00,0.71
Hathras,"1,316",27.6056212,78.0537813,0.00,1.00,0.00,0.00,0.00,0.00,1.15,0.60,1.03,0.82,1.10,0.00,0.00,0.78
Mathura,"1,236",27.4924134,77.673673,1.00,4.94,0.50,0.00,0.00,0.00,0.76,0.67,0.57,0.48,0.53,0.00,0.00,0.59
Agra,"1,096",27.1766701,78.0080745,6.85,6.20,0.57,0.00,0.00,0.00,0.97,0.59,0.58,0.51,1.01,0.00,0.00,0.59
Firozabad,"1,109",27.1591006,78.3957574,2.00,6.36,0.00,0.00,0.00,0.00,1.14,0.78,0.79,0.61,1.21,0.00,0.53,0.69
Etah,"1,582",27.5587505,78.662567,0.00,19.60,1.81,0.00,0.00,0.00,1.27,0.57,0.87,0.78,1.10,0.00,0.00,0.77
Mainpuri,819,27.2284986,79.0249516,0.00,2.27,38.64,0.00,0.00,0.00,0.91,0.65,0.56,0.69,0.50,0.00,0.50,0.53
Budaun,994,28.0337088,79.1205419,0.00,16.07,4.35,0.00,0.00,0.00,1.30,0.95,1.42,1.60,1.65,0.00,0.50,0.70
Bareilly,"1,169",28.3670355,79.4304381,2.50,0.00,2.00,0.00,0.00,0.00,1.36,0.65,1.11,1.33,1.51,0.00,0.50,0.66
Pilibhit,991,28.6207939,79.8128649,0.50,0.00,0.00,0.00,0.00,0.00,1.29,0.90,1.53,1.01,1.30,0.00,0.50,0.56
Shahjahanpur,"1,003",27.883744,79.9122455,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.77,1.25,1.06,1.22,0.00,0.10,0.57
Kheri,896,28.16514,80.6326916,0.00,0.00,2.00,0.00,0.00,0.00,1.56,0.85,1.11,0.99,1.24,2.00,0.00,0.83
Sitapur,"1,031",27.5839037,80.666356,0.00,2.90,2.43,0.00,0.00,0.00,2.06,0.57,1.15,1.49,1.97,1.21,0.00,0.77
Hardoi,"1,054",27.3986345,80.1316927,2.50,0.00,2.03,0.00,0.00,0.00,2.02,0.75,1.22,1.37,1.81,5.00,1.00,0.88
Unnao,843,26.5393449,80.4878195,0.00,0.00,2.21,0.00,0.00,0.00,1.84,0.73,0.91,1.43,1.72,0.00,1.89,0.72
Lucknow,"1,350",26.8466937,80.946166,5.00,0.00,0.90,0.00,0.00,0.00,1.97,0.59,0.83,0.97,1.60,0.00,0.42,0.67
Rae Bareli,"1,018",26.2345298,81.2408689,2.18,2.31,0.00,0.10,0.32,0.00,2.46,0.83,0.87,0.81,2.04,2.00,0.25,0.43
Farrukhabad,"1,076",27.3826126,79.5940544,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.59,0.63,0.82,0.98,0.00,0.00,0.81
Kannauj,"1,124",27.0514156,79.9136731,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.71,0.78,0.93,0.50,0.00,0.00,1.11
Etawah,981,26.8117116,79.0046898,0.00,3.91,1.00,0.00,0.00,0.00,0.88,0.65,0.72,0.46,0.49,0.00,0.69,0.74
Auraiya,"1,258",26.4625957,79.5097549,0.00,3.31,3.00,1.00,0.00,0.00,1.07,0.84,0.72,0.43,0.86,0.00,0.75,0.72
