District,Median Income,Latitude,Longitude,jowar,bajra,maize,barley,small millets,ragi,arhar,moong,masur,urd,peas,khesari,gram products,besan
Kanpur Dehat,"1,144",26.526707,79.8296743,0.00,5.27,1.03,0.00,0.00,0.00,2.48,1.04,0.62,0.70,0.50,0.00,0.21,0.62
Kanpur Nagar,"1,400",26.4148245,80.2321313,0.00,2.45,1.74,0.00,0.00,0.00,2.14,0.76,0.75,0.70,4.67,0.00,0.50,0.93
Jalaun,"1,274",26.1458649,79.3296565,0.00,0.00,0.00,0.00,0.00,0.00,2.66,1.34,1.35,1.45,1.93,0.00,0.00,0.72
Jhansi,"1,393",25.4484257,78.5684594,0.00,0.00,0.00,0.00,0.00,0.00,1.96,0.93,1.10,1.07,1.44,0.00,0.00,1.07
Lalitpur,"1,033",24.6878597,78.4120206,0.00,0.00,0.00,0.00,0.00,0.00,2.12,1.66,1.75,1.23,1.04,0.00,0.00,1.09
Hamirpur,"1,314",25.9548043,80.1526271,0.00,0.25,0.42,0.00,0.00,0.00,2.33,0.86,1.14,0.52,1.48,0.00,0.00,0.71
Mahoba,951,25.2920964,79.8724168,0.00,0.00,0.00,0.00,0.00,0.00,2.11,1.08,1.15,1.37,1.26,0.00,0.00,0.86
Banda,790,25.4796224,80.3380213,0.00,3.47,4.97,0.00,0.00,0.00,1.87,1.10,1.08,1.37,1.53,2.00,0.00,0.44
Chitrakoot,"1,038",25.1093692,81.0754657,1.00,3.89,5.00,0.00,0.40,0.00,1.82,0.60,0.89,0.60,1.79,0.00,0.56,0.29
Fatehpur,837,25.9200736,80.8099941,0.00,0.00,0.00,0.00,0.00,0.00,2.62,1.14,1.03,0.81,0.66,1.00,0.00,0.35
Pratapgarh,793,25.8973038,81.9452981,2.00,0.00,1.99,0.25,0.00,0.00,2.41,0.51,0.88,0.83,2.48,0.50,0.00,0.61
Kaushambi,812,25.361054,81.4031707,0.00,14.20,0.00,0.00,0.00,0.00,1.78,0.82,0.00,0.64,1.95,0.00,0.00,0.55
Allahabad,"1,069",25.4358011,81.846311,0.00,2.97,0.00,0.00,0.00,0.00,1.98,0.42,0.40,0.64,2.62,1.00,5.00,0.77
Barabanki,815,26.9400001,81.19,1.00,1.00,1.95,0.00,0.00,0.00,2.12,0.74,0.64,1.39,1.93,0.50,0.00,0.50
Faizabad,"1,027",26.7732476,82.1441643,0.00,0.00,0.50,0.25,0.00,0.00,1.69,0.39,0.35,0.88,4.87,0.25,0.00,0.75
Ambedkar Nagar,"1,106",26.4683952,82.6915429,0.00,0.00,3.51,0.00,0.00,0.00,2.35,1.67,0.23,1.56,4.80,0.00,0.00,0.83
Sultanpur,"1,146",26.2647757,82.0727061,0.00,0.00,6.50,0.00,0.00,0.00,3.16,0.53,1.21,1.24,3.88,1.00,0.00,0.67
Bahraich,867,27.5708377,81.5980246,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.03,1.21,1.34,1.99,3.00,0.00,0.62
Shrawasti,776,27.5977504,81.9534815,0.00,0.00,0.00,0.00,0.00,0.00,2.15,0.97,1.33,0.78,1.42,1.00,0.00,0.73
Balrampur,969,27.4297064,82.1768018,0.00,0.00,0.00,0.00,0.00,0.00,2.88,0.81,1.10,0.95,2.04,0.00,0.00,1.07
Gonda,947,27.1339913,81.9618968,0.00,0.00,1.25,0.00,0.00,0.00,2.53,0.72,0.90,1.10,1.96,0.00,0.00,0.66
Siddharthnagar,859,27.2715633,82.820974,0.00,0.00,0.00,0.00,0.00,0.00,1.45,0.00,0.91,1.00,3.46,0.00,0.00,0.69
Basti,725,26.8176796,82.7633133,0.00,0.00,0.00,0.00,0.00,0.00,1.59,0.50,0.85,1.31,3.99,0.00,0.00,0.73
Sant Kabir Nagar,"1,014",26.7671755,83.0361376,0.00,0.00,1.00,0.00,0.00,0.00,1.63,0.50,1.59,1.40,3.33,3.77,0.00,0.53
Mahrajganj,962,27.1446035,83.5621737,0.00,0.00,0.00,0.00,0.00,0.00,1.53,1.92,1.83,1.83,2.19,1.33,0.00,0.57
Gorakhpur,"1,015",26.7605545,83.3731675,0.00,0.00,0.52,0.00,0.00,0.00,2.86,0.28,0.94,1.59,2.97,1.00,0.00,0.50
Kushinagar,"1,010",26.7398787,83.8869698,0.00,0.00,0.00,0.00,2.50,0.00,2.34,0.49,1.69,0.50,2.11,1.27,0.00,0.78
Deoria,901,26.4862373,83.7838214,0.00,0.00,4.37,0.00,0.00,0.00,2.95,0.50,1.11,0.00,1.63,1.00,0.00,0.57
Azamgarh,873,26.0737044,83.1859458,0.00,0.25,2.28,0.30,0.00,0.00,2.10,0.35,1.96,3.00,3.42,0.00,0.50,0.62
Mau,959,25.9496379,83.5586445,0.00,0.00,5.01,5.00,0.00,0.00,2.15,0.00,0.63,1.00,2.96,4.00,0.00,0.68
Ballia,933,25.7584381,84.1487319,8.00,0.00,13.64,0.10,0.00,0.00,1.88,1.79,1.71,0.75,3.09,1.68,0.79,0.59
Jaunpur,966,25.7490034,82.6987002,0.00,0.00,6.71,0.00,0.00,0.00,2.54,0.46,0.40,1.14,3.08,4.00,0.00,0.83
Ghazipur,"1,029",25.5840419,83.5770202,0.00,2.83,0.00,0.00,0.00,0.00,2.64,0.85,1.84,0.55,3.78,6.00,0.00,0.74
Chandauli,"1,092",25.2604556,83.2662673,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.62,0.76,0.44,2.81,5.00,0.00,0.56
Varanasi,"1,210",25.3176452,82.9739144,2.46,1.00,0.00,0.00,0.00,0.00,2.96,0.74,1.43,0.81,2.62,1.71,0.39,0.64
Sant Ravidas Nagar,843,25.326373,82.4319405,0.00,7.65,1.00,0.00,0.00,0.00,2.75,1.40,1.51,0.89,2.53,0.25,0.00,0.72
Mirzapur,952,25.1336987,82.5644344,1.09,9.10,0.00,0.00,0.00,0.00,3.30,0.50,0.97,1.01,2.59,0.00,8.00,0.92
Sonbhadra,974,24.6850005,83.0683519,0.00,0.00,10.13,0.00,11.81,0.00,2.22,0.70,2.06,1.68,2.06,0.00,0.00,0.60
Kashiramnagar,"1,402",27.7879499,78.5677553,0.00,16.20,1.56,0.00,0.00,0.00,1.28,0.78,1.16,0.80,0.92,1.00,0.00,0.62
Pashchim Champaran,978,27.0504883,83.738743,0.00,0.00,5.01,0.00,0.00,0.00,0.98,1.47,1.49,0.00,0.50,0.69,0.32,0.47
Purba Champaran,929,26.6374385,84.3272922,0.00,3.16,2.39,1.97,0.00,0.00,0.97,0.88,1.31,0.50,0.52,0.98,0.99,0.68
Sheohar,750,26.5145872,85.2942313,0.00,0.00,2.70,0.00,5.00,0.00,1.23,1.48,1.80,1.00,1.00,1.38,0.69,0.62
Sitamarhi,684,26.5952476,85.4808393,0.00,0.78,1.04,0.00,0.00,0.00,0.91,0.87,1.54,1.23,1.34,0.93,0.50,0.26
Madhubani,976,26.3468544,86.0715474,0.00,0.50,1.44,4.00,0.00,0.00,1.74,0.97,1.23,1.28,0.15,1.11,0.42,0.29
Supaul,"1,091",26.1317087,86.6107106,0.00,0.00,1.53,0.50,0.00,0.00,0.64,2.24,1.71,1.24,2.00,0.50,0.51,0.21
Araria,995,26.1311375,87.445534,0.00,1.00,1.96,0.46,0.00,0.00,1.05,1.38,1.56,0.97,1.02,1.00,1.00,0.69
Kishanganj,976,26.0917422,87.9383822,0.00,0.00,2.09,0.00,0.00,0.00,0.91,0.92,1.41,0.96,1.00,1.00,0.00,0.47
Purnia,965,25.7771391,87.4752551,0.00,0.00,2.27,0.00,0.00,0.00,1.39,1.81,1.42,0.58,1.04,0.50,0.87,0.36
Katihar,946,25.552048,87.5718609,0.00,0.00,2.00,0.00,0.00,0.00,1.11,1.21,1.53,0.52,1.31,1.00,0.75,0.77
Madhepura,"1,307",25.9286903,86.7909759,0.00,0.00,1.33,0.50,0.00,0.00,1.19,1.78,1.71,1.03,0.50,0.50,0.50,0.29
Saharsa,"1,209",25.8834961,86.6006249,0.00,0.00,3.16,0.00,0.00,0.00,0.99,1.94,1.81,2.00,2.00,0.50,0.00,1.28
Darbhanga,889,26.111868,85.896004,0.00,0.00,1.94,0.00,0.00,0.00,1.36,0.97,1.70,1.12,0.00,1.00,0.47,0.30
Muzaffarpur,938,26.1208876,85.3647201,0.00,0.00,4.51,0.00,0.00,0.00,1.65,0.96,1.79,0.00,0.70,1.45,0.52,0.55
Gopalganj,888,26.4685472,84.4433318,0.00,0.00,3.11,0.00,0.00,0.00,1.03,1.52,1.46,1.00,1.06,1.96,0.39,0.53
Siwan,891,26.2196205,84.3566593,0.00,0.00,2.33,0.00,0.00,0.00,1.60,1.65,1.70,1.00,0.00,1.30,4.86,0.32
Saran,"1,007",26.0502233,84.6250199,0.00,2.85,2.49,0.00,0.00,0.00,1.90,1.11,1.70,0.00,1.83,0.82,0.00,0.71
Vaishali,"1,320",26.0038178,85.0817825,0.00,0.00,1.99,0.00,0.00,0.00,1.85,1.15,2.54,1.50,1.40,3.07,0.31,0.49
Samastipur,"1,051",25.8629679,85.7810263,0.00,0.00,3.63,0.00,0.00,0.00,1.52,0.93,1.46,1.14,0.30,0.00,0.53,0.28
Begusarai,"1,022",25.416675,86.1293792,0.00,0.00,3.67,0.00,0.00,0.00,1.68,0.69,1.39,1.00,0.25,0.00,0.38,0.30
Khagaria,"1,161",25.5111515,86.476908,0.00,0.00,2.48,0.00,0.00,0.00,1.59,1.18,1.57,0.00,1.33,0.00,0.24,0.33
Bhagalpur,857,25.2414303,86.9924358,0.00,0.00,10.47,0.00,0.00,0.00,1.92,1.02,1.97,3.84,2.15,1.62,0.99,0.79
Banka,929,24.8874179,86.919838,0.00,0.00,3.08,0.00,0.00,0.00,1.79,1.06,1.63,0.93,1.05,2.06,0.61,0.54
Munger,749,25.3747561,86.4735251,0.00,6.00,3.85,0.00,0.00,0.00,2.35,1.01,1.87,5.00,2.30,1.97,1.51,0.33
Lakhisarai,989,25.1673614,86.0988253,0.00,0.00,1.57,0.00,0.00,0.00,1.36,0.37,1.87,0.50,1.72,2.13,0.74,0.54
Sheikhpura,888,25.1416937,85.8628915,0.00,0.00,2.41,0.00,0.00,0.00,1.36,0.63,1.97,0.50,0.62,2.79,0.92,0.61
Nalanda,908,25.1240603,85.4594749,0.00,0.00,3.00,0.00,0.00,0.00,1.87,2.56,2.40,0.24,0.52,1.31,0.99,0.61
Patna,"1,061",25.5940947,85.1375645,0.00,4.92,4.08,0.00,0.00,0.00,1.86,0.97,2.23,0.99,0.87,1.79,0.83,0.53
Bhojpur,810,25.466155,84.5222189,0.00,10.00,4.78,0.00,0.00,0.00,1.62,1.96,2.00,2.00,1.00,2.12,0.71,0.64
Buxar,848,25.5647103,83.9777482,0.00,0.00,2.00,0.00,0.50,0.00,1.14,0.37,1.98,1.00,0.99,1.76,1.50,0.41
Kaimur (Bhabua),938,25.0426227,83.6055732,0.00,0.00,5.00,0.00,0.00,0.00,1.78,0.99,1.96,1.18,1.47,1.71,0.50,0.75
Rohtas,831,24.6287405,83.9201656,0.00,0.00,2.53,10.00,0.00,0.00,1.14,1.61,2.07,2.00,0.39,1.56,1.59,0.47
Jehanabad,"1,001",25.2139287,84.9895549,0.00,0.00,1.78,0.00,0.00,0.00,1.26,0.97,2.64,0.46,0.50,0.00,0.78,0.49
Aurangabad,888,24.7550083,84.3608373,0.00,0.00,3.00,0.00,0.00,0.00,1.35,0.50,2.25,0.91,0.88,1.09,0.50,0.51
Gaya,"1,025",24.7954523,84.999431,0.00,0.00,1.70,0.00,2.10,0.00,1.37,1.72,2.71,0.84,0.89,2.34,0.96,0.49
Nawada,"1,024",24.8910775,85.5354724,0.00,0.00,3.00,0.00,0.00,0.00,1.22,2.05,2.25,0.31,1.02,0.00,0.00,0.48
Jamui,785,24.9195147,86.224718,2.00,0.00,2.85,2.00,0.00,0.00,1.13,1.93,1.85,3.00,1.65,3.96,1.55,0.36
Arwal,886,25.2440189,84.6662199,0.00,0.00,3.00,0.00,0.00,20.00,1.42,2.53,2.83,0.47,1.48,1.33,0.50,0.67
North Sikkim,"1,622",27.8236356,88.556531,0.00,0.00,2.97,2.00,4.00,0.00,1.00,0.87,1.44,0.00,1.70,0.00,0.00,0.25
West Sikkim,"1,415",27.3600616,87.8956845,0.00,0.00,3.38,1.50,7.98,0.00,0.57,1.13,1.23,1.00,1.57,0.00,0.00,0.39
South Sikkim,"1,320",27.3079433,88.1322984,0.00,0.00,3.29,0.00,3.81,0.00,0.64,1.01,1.27,0.00,0.57,0.00,0.86,0.30
East Sikkim,"2,125",27.2836342,88.5389938,0.00,0.00,2.21,0.00,11.77,0.00,0.76,0.74,1.13,0.64,0.54,0.00,0.80,0.41
Tawang,"2,640",27.5780678,91.8757422,0.00,0.00,2.63,0.00,5.35,0.00,1.00,1.48,1.99,0.00,1.00,0.00,0.00,0.00
West Kameng,"2,511",27.3427633,92.302446,3.00,0.00,11.67,0.00,8.94,0.00,1.17,2.17,1.91,2.00,2.51,0.00,3.35,3.00
East  Kameng,"1,660",27.4231261,93.0175712,0.00,0.00,17.91,0.00,33.79,0.00,0.00,1.52,2.94,0.00,3.91,0.00,0.00,0.00
Papum Pare,"2,922",27.1719019,93.7029002,0.00,0.00,8.15,0.00,0.00,0.00,1.33,1.46,2.22,1.00,1.37,0.00,0.00,0.58
Lower Subansiri,"1,509",27.6169349,93.8391557,0.00,0.00,5.01,0.00,14.25,0.00,0.00,2.15,2.22,0.00,2.29,0.00,0.00,0.00
Upper Subansiri,"1,858",27.786802,94.3359635,0.00,0.00,8.98,0.00,16.69,0.00,3.50,1.43,2.19,2.00,2.57,0.00,1.00,1.00
West Siang,"1,020",28.147254,94.7484518,0.00,0.00,8.73,0.00,12.47,0.00,1.64,0.79,1.25,0.81,1.01,0.00,0.00,0.69
East Siang,"1,749",28.1097051,95.1432068,0.00,0.00,11.20,0.00,10.00,0.00,1.70,1.53,1.60,1.40,1.15,0.00,0.00,1.23
Upper Siang,"2,619",28.7588781,95.2266675,0.00,0.00,3.79,0.00,3.00,0.00,1.61,1.15,1.78,0.00,3.88,0.00,0.00,0.00
Dibang Valley,"1,470",28.8128767,96.1526985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.54,2.00,0.00,0.00,0.00,0.00,0.00
Lohit,"1,008",27.9039651,96.1739116,0.00,0.00,0.00,0.00,0.00,0.00,1.58,1.22,2.39,1.25,2.00,0.00,1.00,0.45
Changlang,936,27.1305856,95.7342373,0.00,0.00,4.16,0.00,3.00,0.00,1.23,0.86,1.27,1.08,1.06,0.00,2.00,0.31
Tirap,812,26.9942703,95.5407299,5.00,0.00,3.24,0.00,4.85,20.00,1.34,1.95,1.06,2.00,0.81,0.00,0.00,0.31
Anjaw,880,27.2568757,95.9359378,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,2.61,0.00,2.00,0.00,0.00,0.00
Kurungkumey,"1,024",27.8989678,93.3514863,0.00,0.00,8.83,0.00,19.86,0.00,0.00,1.05,1.79,0.00,0.00,0.00,0.00,0.00
Lower Dibang Valley,"1,543",28.1428728,95.8431018,0.00,2.00,6.64,0.00,12.00,0.00,1.98,1.18,1.43,1.19,1.00,0.00,0.00,0.53
Mon,"1,781",26.722574,95.0312498,0.00,0.00,7.27,0.00,0.00,0.00,0.00,1.13,1.26,0.00,0.50,0.00,0.00,0.00
Tuensang,"1,738",26.2357422,94.8131863,0.00,0.00,5.16,0.00,0.00,0.00,0.50,1.34,1.62,1.00,0.00,0.00,0.00,0.00
Mokokchung,"1,586",26.3220358,94.5134629,0.00,0.00,0.00,0.00,0.00,0.00,1.35,1.10,1.48,0.00,1.00,0.00,0.00,0.00
Zunheboto,"1,619",26.0092831,94.5237707,0.00,0.00,3.87,0.00,0.50,0.00,0.50,1.14,1.13,0.00,0.92,0.00,0.00,0.00
Wokha,"1,654",26.0910351,94.2589738,0.00,0.00,2.54,0.00,0.00,0.00,0.00,1.03,1.19,0.50,0.70,0.00,0.00,0.00
Dimapur,"2,226",25.8629885,93.7536663,0.00,0.00,7.85,0.00,0.00,0.00,0.00,1.25,1.93,0.00,0.86,0.00,0.00,2.00
Kohima,"2,278",25.6585963,94.1053307,0.00,0.00,10.74,0.00,0.00,0.00,0.94,1.26,1.32,1.24,0.58,0.00,0.00,0.00
Phek,"1,647",25.6994918,94.46123,0.00,0.00,2.04,0.00,0.00,0.00,1.28,0.84,1.04,0.00,0.65,0.00,0.00,0.00
Kiphire,"1,704",25.8689085,94.7853412,0.00,0.00,20.00,0.00,0.00,0.00,0.00,1.35,0.91,0.00,1.00,0.00,0.00,0.00
Longleng,"1,893",26.4901992,94.819664,0.00,0.00,8.41,0.00,5.00,0.00,1.04,0.90,1.19,0.00,0.50,0.00,0.50,0.00
Peren,"1,416",25.5124772,93.7390658,0.00,0.00,2.31,0.00,0.00,0.00,0.50,1.42,1.21,0.00,0.80,0.00,1.00,0.00
Senapati,925,25.2677276,94.0210189,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.93,0.52,1.26,1.00,0.00,0.49
Tamenglong,"1,397",24.9879342,93.495292,0.00,0.00,0.00,0.00,0.00,0.00,0.95,1.43,1.19,1.18,1.84,1.17,1.50,1.00
Churachandpur,"1,324",24.3427485,93.6978264,0.00,0.00,1.50,0.00,0.00,0.00,0.48,1.56,1.60,0.46,1.14,0.94,0.72,0.39
Bishnupur,"1,133",24.6303603,93.7598288,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.71,0.77,0.70,0.90,0.67,0.99,0.73
Thoubal,"1,394",24.6449243,93.99929,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.50,0.63,0.45,0.88,1.09,0.92,0.63
Imphal West,"1,406",24.7827837,93.8858955,0.00,0.00,1.24,0.00,90.00,0.00,0.46,0.51,0.53,0.66,0.71,0.88,0.57,0.50
Imphal East,"1,349",24.7806536,93.9674371,0.00,0.00,2.00,2.00,0.00,0.00,0.50,0.34,0.71,0.57,0.83,0.66,0.38,0.34
Ukhrul,"1,154",25.0953858,94.3616516,0.00,0.00,0.00,0.00,0.00,0.00,0.83,1.03,0.73,1.00,2.18,3.00,0.00,1.00
Chandel,958,24.3262003,94.0006003,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.77,0.96,1.23,1.89,1.00,0.00,0.00
Mamit,"1,404",23.9294441,92.4905707,0.00,0.00,8.61,0.00,0.00,0.00,0.00,0.00,2.77,0.00,0.50,0.00,1.61,1.35
Kolasib,"1,803",24.224565,92.6760251,0.00,0.00,3.35,0.00,0.00,0.00,0.00,2.85,2.45,2.00,0.00,0.00,4.00,0.00
Aizawl,"2,277",23.727107,92.7176389,0.00,3.00,3.37,0.00,0.00,0.00,0.00,2.30,2.47,2.74,0.96,5.00,1.73,1.37
Champhai,"1,563",23.4565708,93.3281929,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.37,0.00,1.48,0.00,2.00,0.00
Serchhip,"1,351",23.3416578,92.8502302,0.00,0.00,5.96,0.00,0.00,0.00,0.00,0.00,2.26,0.00,1.00,0.00,2.00,0.00
Lunglei,"1,514",22.8670691,92.7655358,0.00,0.00,6.75,0.00,0.00,0.00,0.00,3.06,2.42,3.42,3.76,0.00,0.00,0.50
Lawngtlai,"1,132",22.5284445,92.8926342,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.09,2.11,0.00,0.25,0.00,0.00,0.00
Saiha,"1,119",22.489734,92.979269,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.24,1.00,1.70,0.00,0.00,0.00
West Tripura,"1,080",23.899682,91.4048249,0.00,0.00,2.56,0.00,0.00,0.00,0.55,0.56,1.29,1.01,0.86,0.52,0.33,0.51
South Tripura,"1,125",23.2317493,91.5596117,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.77,1.54,1.34,0.00,0.66,0.00,0.00
Dhalai,"1,690",23.8466982,91.9099238,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.97,1.95,1.00,1.34,0.96,0.00,0.26
North Tripura,"1,195",24.0797139,92.2630393,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.04,1.64,0.78,0.64,0.63,1.00,0.05
West Garo Hills,"1,258",25.5679372,90.2244662,0.00,0.00,3.24,0.00,2.13,0.00,0.76,1.03,2.13,0.65,0.68,0.84,0.66,0.41
East Garo Hills,"1,433",25.5671692,90.5257823,0.00,0.00,2.81,0.00,2.00,0.00,1.00,0.83,2.12,6.00,0.81,0.88,3.46,0.43
South Garo Hills,"1,389",25.3300969,90.563609,0.00,0.00,1.52,0.00,0.00,0.00,0.95,1.14,2.02,0.00,0.69,1.11,0.00,0.52
West Khasi Hills,"1,103",25.5624625,91.2891036,0.00,0.00,3.34,0.00,0.00,0.00,1.00,0.76,1.30,1.50,0.00,0.00,0.00,0.35
Ri Bhoi,"1,381",25.8431574,91.985621,0.00,0.00,10.00,0.00,0.00,0.00,1.00,0.64,1.07,0.00,0.50,0.00,0.80,0.29
East Khasi Hills,"1,802",25.3681768,91.7538817,0.00,0.00,1.41,0.00,0.00,0.00,1.26,1.28,1.32,0.96,1.42,0.00,0.80,0.59
Jaintia Hills,"1,196",25.5021272,92.341887,0.00,0.00,3.22,0.00,0.00,0.00,0.50,0.60,0.76,0.50,0.00,0.00,0.00,0.75
Kokrajhar,965,26.4014362,90.266699,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.96,1.82,0.88,0.86,0.57,0.00,0.50
Dhubri,886,26.0206982,89.9743463,0.00,0.00,0.00,0.00,0.00,0.00,0.77,1.64,2.00,1.72,0.67,1.04,0.00,0.40
Goalpara,"1,240",26.1641342,90.6251541,0.00,0.00,0.00,0.00,0.00,0.00,0.66,1.48,2.04,0.77,0.35,0.00,0.00,0.42
Bongaigaon,"1,204",26.5009992,90.5352356,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.80,1.88,0.77,0.25,0.96,0.00,0.33
Barpeta,946,26.3304209,91.0040547,0.00,0.00,0.00,0.00,0.00,0.00,0.81,1.68,2.34,0.92,1.00,0.77,0.37,0.37
Kamrup,"1,034",26.3160819,91.5983959,0.00,0.00,0.00,0.00,0.00,0.00,0.60,1.84,2.40,0.95,0.00,0.92,0.00,0.49
Nalbari,"1,211",26.4446185,91.4410527,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.98,1.87,0.78,1.84,0.58,0.00,0.28
Darrang,"1,204",26.4522876,92.027319,0.00,0.00,0.00,0.50,0.00,0.00,0.66,0.63,1.73,0.99,0.46,1.11,0.00,0.41
Marigaon,976,26.2528853,92.336955,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.54,1.44,0.84,0.80,0.50,0.00,0.34
Nagaon,"1,001",26.3463713,92.6840426,0.00,0.00,1.00,0.00,0.00,0.00,0.66,0.71,1.59,1.55,0.85,1.13,0.90,0.28
Sonitpur,"1,043",26.6738851,92.8577105,0.00,0.00,3.00,0.00,0.00,0.00,0.76,0.87,2.17,0.71,0.61,0.89,0.00,0.27
Lakhimpur,973,27.2063587,94.1513764,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.69,1.85,1.04,0.51,0.59,0.25,0.37
Dhemaji,"1,006",27.4811106,94.5572847,0.00,0.00,0.00,0.89,0.00,0.00,0.73,0.88,1.66,0.77,0.54,0.51,0.00,0.20
Tinsukia,"1,100",27.4921909,95.346775,0.00,0.00,0.00,0.00,0.00,0.00,0.82,1.34,1.99,1.72,1.43,0.00,0.00,0.46
Dibrugarh,"1,055",27.4728327,94.9119621,0.00,0.00,0.00,0.00,0.00,0.00,1.13,1.66,1.90,2.01,1.23,0.00,0.00,0.54
Sibsagar,"1,114",26.9826098,94.6424521,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.69,1.76,0.93,0.89,0.00,1.78,0.39
Jorhat,"1,108",26.7465203,94.2025859,0.00,0.00,0.00,0.00,0.00,0.00,0.97,1.05,1.51,1.38,0.99,1.48,0.00,0.33
Golaghat,998,26.5238515,93.962337,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.53,1.61,0.92,0.86,0.97,0.54,0.31
Karbi Anglong,884,26.186085,93.5812692,0.00,0.00,0.29,0.00,0.00,0.00,1.39,0.87,1.67,1.30,0.88,0.00,1.00,0.00
North Cachar Hills,943,25.3478004,93.0175712,0.00,0.00,0.25,0.00,0.00,0.00,0.00,1.27,1.83,0.50,0.65,0.50,0.00,0.00
Cachar,917,24.7821253,92.8577105,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.68,1.55,0.60,0.83,0.50,0.00,0.00
